order,site,src,index,lon,lat,depth,type,prec,coast,date.start,date.end,length,NA.perc,mean,sd,range,min,max,DT
1,Port Nolloth,DEA,Port Nolloth/DEA,16.86710358,-29.25240668,5,UTR,0.1,wc,1991-02-05,2000-02-23,3306,15,11.792,1.304,10.918000000000001,9.557,20.475,NA
2,Port Nolloth,SAWS,Port Nolloth/SAWS,16.86839444,-29.26428333,0,thermo,0.5,wc,1973-07-23,2017-12-20,16222,6,12.537,1.472,11.8,9.2,21,0.374
3,Port Nolloth,UWC,Port Nolloth/UWC,16.86806,-29.26649,0,UTR,0.001,wc,2015-10-12,2016-07-27,290,0,12.434,2.046,11.012000000000002,10.062,21.074,NA
4,Hondeklipbaai,SAWS,Hondeklipbaai/SAWS,17.269506,-30.311815,0,thermo,0.5,wc,1990-09-20,2006-08-08,5802,38,12.099,1.497,12,8,20,NA
5,Dead Whale Gulley,UWC,Dead Whale Gulley/UWC,17.89035,-31.33109,0,UTR,0.001,wc,2015-10-11,2016-07-28,292,0,13.652,2.147,10.177,10.622,20.799,NA
6,Doringbaai,DAFF,Doringbaai/DAFF,18.23065281,-31.81707922,0,UTR,0.001,wc,2010-11-18,2016-11-17,2192,0,13.3,1.844,11.025,9.681,20.706,NA
7,Doringbaai,SAWS,Doringbaai/SAWS,18.23065281,-31.81707922,0,thermo,0.5,wc,1990-09-08,2006-08-25,5831,42,12.801,1.474,14,8,22,NA
8,Lamberts Bay,SAWS,Lamberts Bay/SAWS,18.30205833,-32.09164444,0,thermo,0.5,wc,1972-11-04,2017-11-30,16463,19,13.155,1.621,13.5,9,22.5,0.114
9,Elands Bay,DEA,Elands Bay/DEA,18.32222222,-32.31666667,0,UTR,0.01,wc,1990-10-26,1998-03-31,2714,26,12.82,1.769,10.274,8.69,18.964,NA
10,St Helena Bay,SAWS,St Helena Bay/SAWS,18.027778,-32.758333,0,thermo,0.5,wc,1997-01-01,2013-09-19,6106,41,14.442,1.443,14.600000000000001,7,21.6,NA
11,Paternoster,DEA,Paternoster/DEA,17.9333333333,-32.7083333333,2,UTR,0.001,wc,1990-01-26,2008-09-04,6797,14,12.819,1.427,11.67,9.676,21.346,NA
12,Paternoster,SAWS,Paternoster/SAWS,17.885221,-32.806696,0,thermo,0.5,wc,1984-04-03,2000-12-28,6114,59,13.58,1.924,13.7,8.8,22.5,NA
13,Saldanha Bay,SAWS,Saldanha Bay/SAWS,17.94944,-33.0206,0,thermo,0.5,wc,1972-10-01,2017-10-26,16462,32,15.716,2.235,13.100000000000001,9,22.1,0.025
14,Yzerfontein,SAWS,Yzerfontein/SAWS,18.14955278,-33.34629444,0,thermo,0.5,wc,1991-08-11,2017-11-30,9609,16,13.311,1.438,10.8,9.5,20.3,NA
15,Dassen Island,SAWS,Dassen Island/SAWS,18.083,-33.4157,0,thermo,0.5,wc,1990-04-01,2005-11-17,5710,21,13.811,1.271,11,10,21,NA
16,Koeberg Basin,SAWS,Koeberg Basin/SAWS,18.42886111,-33.67894167,0,thermo,0.5,wc,2015-01-02,2017-12-14,1078,7,12.369,1.401,8.8,8.8,17.6,NA
17,Sea Point,SAWS,Sea Point/SAWS,18.38090833,-33.91986111,0,thermo,0.5,wc,1974-01-01,2017-12-21,16061,6,13.023,1.571,14.9,8.1,23,-0.181
18,Oudekraal,DAFF,Oudekraal/DAFF,18.346194,-33.984972,9,UTR,0.001,wc,2003-02-25,2016-11-07,5005,6,12.322,1.86,10.03,8.187,18.217,NA
19,Hout Bay,DEA,Hout Bay/DEA,18.349713,-34.050165,28,UTR,0.1,wc,1991-03-25,2008-04-23,6240,5,11.185,1.82,9.263000000000002,7.456,16.719,NA
20,Hout Bay,SAWS,Hout Bay/SAWS,18.349713,-34.050165,0,thermo,0.5,wc,1972-09-09,2005-10-19,12094,52,13.912,1.328,11,8,19,0.259
21,Kommetjie,SAWS,Kommetjie/SAWS,18.31927222,-34.14863889,0,thermo,0.5,wc,1992-03-01,2017-12-13,9419,7,13.234,1.725,12.599999999999998,7.8,20.4,NA
22,Buffelsbaai,UWC,Buffelsbaai/UWC,18.466383,-34.325367,2,UTR,0.001,sc,2015-05-01,2017-09-18,872,0,15.334,1.908,10.609000000000002,11.136,21.745,NA
23,Bordjies,DAFF,Bordjies/DAFF,18.461992,-34.319517,4,UTR,0.001,sc,2004-03-25,2017-02-01,4697,7,15.586,1.91,11.562,10.31,21.872,NA
24,Bordjies Deep,DAFF,Bordjies Deep/DAFF,18.4652,-34.3105,9,UTR,0.001,sc,2003-02-04,2017-02-01,5112,4,15.339,1.903,11.819999999999999,10.15,21.97,NA
25,Baboon Rock,UWC,Baboon Rock/UWC,18.47824,-34.25525,0,UTR,0.001,sc,2015-03-25,2017-07-24,853,0,15.507,2.015,10.678,11.215,21.893,NA
26,Miller's Point,UWC,Miller's Point/UWC,18.4749,-34.23002,0,UTR,0.001,sc,2015-03-25,2017-07-24,853,0,15.412,1.84,9.783000000000001,11.357,21.14,NA
27,Roman Rock,UWC,Roman Rock/UWC,18.46055,-34.1815,6,UTR,0.001,sc,2015-04-10,2016-10-16,556,0,15.292,1.795,9.498000000000001,11.558,21.056,NA
28,Fish Hoek,SAWS,Fish Hoek/SAWS,18.43498333,-34.13601111,0,thermo,0.5,sc,1992-03-01,2016-11-16,9027,6,15.503,2.385,14,9,23,NA
29,Kalk Bay,SAWS,Kalk Bay/SAWS,18.449,-34.1305,0,thermo,0.5,sc,1972-09-09,2017-12-21,16540,33,16.483,2.228,16.5,9,25.5,0.371
30,Muizenberg,SAWS,Muizenberg/SAWS,18.47278611,-34.10746667,0,thermo,0.5,sc,1973-05-05,2017-01-26,15973,4,15.924,2.954,16,9,25,-0.096
31,Gordons Bay,SAWS,Gordons Bay/SAWS,18.85928889,-34.16476111,0,thermo,0.5,sc,1972-09-13,2017-01-26,16207,5,16.595,2.429,15.5,10,25.5,0.226
32,Betty's Bay,DAFF,Betty's Bay/DAFF,18.922407,-34.359186,5,UTR,0.001,sc,2004-12-13,2016-10-26,4336,0,14.978,1.689,11.001000000000001,10.511,21.512,NA
33,Hermanus,SAWS,Hermanus/SAWS,19.22507222,-34.43329444,0,thermo,0.5,sc,1989-12-01,2017-01-26,9919,5,15.66,1.48,16,9,25,NA
34,Gansbaai,SAWS,Gansbaai/SAWS,19.34701944,-34.5839,0,thermo,0.5,sc,1980-01-01,2017-01-26,13541,36,15.864,1.379,12,11,23,-0.265
35,Dyer Island,DEA,Dyer Island/DEA,19.4237,-34.6789,8,UTR,0.01,sc,2000-03-06,2000-10-28,237,0,13.396,1.471,6.754999999999999,10.02,16.775,NA
36,Cape Agulhas,SAWS,Cape Agulhas/SAWS,20.01418056,-34.82870833,0,thermo,0.5,sc,1986-10-18,2017-10-05,11311,26,16.743,2.268,14,11,25,-0.679
37,De Hoop,DAFF,De Hoop/DAFF,20.55,-34.46,0,UTR,0.001,sc,2014-05-27,2017-01-14,964,0,17.438,2.669,12.839999999999998,11.066,23.906,NA
38,Stilbaai,SAWS,Stilbaai/SAWS,21.42526944,-34.38564722,0,thermo,0.5,sc,1980-01-01,2017-06-03,13669,9,17.879,2.96,17,10,27,0.423
39,Ystervarkpunt,DEA,Ystervarkpunt/DEA,21.73972222,-34.40277778,3,UTR,0.1,sc,1995-10-23,2007-06-21,4260,0,17.566,2.583,13.515999999999998,10.114,23.63,NA
40,Mossel Bay,DEA,Mossel Bay/DEA,22.155,-34.1833333333,8,UTR,0.1,sc,1991-06-26,2007-06-21,5840,8,17.975,2.686,14.521,10.125,24.646,NA
41,Mossel Bay,SAWS,Mossel Bay/SAWS,22.15804167,-34.18630278,0,thermo,0.5,sc,1985-10-16,2017-10-05,11678,27,18.295,2.79,17.5,10,27.5,-0.133
42,Knysna,SAWS,Knysna/SAWS,23.05532455,-34.0856493,0,thermo,0.5,sc,1972-01-01,2016-08-03,16287,14,17.353,2.849,19.5,8,27.5,0.058
43,Knysna,DEA,Knysna/DEA,23.0669444444,-34.0827777778,7,UTR,0.1,sc,1995-03-21,2009-11-06,5345,6,17.321,2.601,13.524,10.717,24.241,NA
44,Plettenberg Bay,DEA,Plettenberg Bay/DEA,23.37924957,-34.04896148,7,UTR,0.1,sc,1991-06-27,1995-07-16,1481,15,17.118,2.704,13.741999999999999,10.083,23.825,NA
45,Plettenberg Bay,SAWS,Plettenberg Bay/SAWS,23.37924957,-34.04896148,0,thermo,0.5,sc,1986-08-18,2001-11-21,5575,39,16.594,2.824,18.5,8,26.5,NA
46,Tsitsikamma,SAWS,Tsitsikamma/SAWS,23.64566803,-33.98066281,0,thermo,0.5,sc,1990-07-01,2007-02-15,6074,8,17.199,2.564,19.8,9.5,29.3,NA
47,Storms River Mouth,SAWS,Storms River Mouth/SAWS,23.899327,-34.024482,0,thermo,0.5,sc,1993-04-01,2008-12-31,5754,4,16.822,2.492,14.999999999999998,9.4,24.4,NA
48,Tsitsikamma,DEA,Tsitsikamma/DEA,23.9105555556,-34.0269444444,10,UTR,0.1,sc,1991-06-29,2009-11-10,6710,4,16.825,2.547,14.67,8.763,23.433,NA
49,Eerste Rivier,SAEON,Eerste Rivier/SAEON,24.22717,-34.07497,0,UTR,0.001,sc,2012-01-22,2016-03-08,1508,0,17.151,2.462,13.616,9.738,23.354,NA
50,Oyster Bay,SAEON,Oyster Bay/SAEON,24.66654,-34.1779,0,UTR,0.001,sc,2011-11-11,2015-12-15,1496,0,16.766,2.411,13.655000000000001,9.555,23.21,NA
51,Thyspunt,SAEON,Thyspunt/SAEON,24.69939,-34.19034,0,UTR,0.001,sc,2011-11-11,2015-12-27,1508,0,16.813,2.399,13.430000000000001,9.815,23.245,NA
